Date,Time,Symbol,Last,%Change,Sector,Beta,StandardDeviation,Free Cash Flow Per Share - Current (LTM),52High,52Low,SimpleMovingAvg,SimpleMovingAvg,SimpleMovingAvg,A_MCADays_Streak,A_MACD_BRR,A_MACDH_D_BRR,Volume,A_VolumeSpike,VolumeAvg,VolumeAvg,VolumeRateOfChange,A_Perf2M,A_Perf2Wk,A_Perf3D,A_3mnHigh,A_3mnLow,A_3mnHighLow,A_3wkHighLow,A_EarningsDays,Market Cap
05/22/2026,1630,AZO,3406.50,-0.92%,Consumer Discretionary,.4007,73.33,$95.97,4388.11,3210.72,3472.26,3462.24,3740.05,5.0,0.46,0.42,"511,964",-100042.01,213330.11,201326.59,155.67,1.81,-2.57,1.77,3882.58,3280.04,-3280.04,-3280.04,1.0,"56,128 M"
05/22/2026,1630,B,40.68,-1.45%,Materials,-.1014,2.31,$2.99,54.69,18.58,41.23,41.09,39.12,-1.0,-0.51,-0.46,"10,995,592",100647.1,1.334971865E7,1.327480465E7,42.71,6.97,-5.68,2.99,51.58,36.44,-36.44,48.09,53.0,"68,160 M"
05/22/2026,1630,BA,219.02,-0.27%,Industrials,1.201,8.09,($1.82),254.3499,176.77,227.42,218.0,219.57,1.0,-0.45,0.15,"4,630,628",-100639.07,6857331.74,6847565.47,-4.74,11.51,-7.73,1.87,244.06,188.38,244.06,-214.03,44.0,"172,654 M"
05/22/2026,1630,BABA,130.00,-1.12%,Consumer Discretionary,.4709,4.51,($3.17),192.67,103.71,135.08,131.77,149.5,-7.0,-0.6,-0.33,"11,761,168",201052.08,1.161584819E7,1.142861179E7,41.41,3.6,-7.18,-4.16,154.62,118.33,-118.33,147.07,66.0,"311,887 M"
05/22/2026,1630,BAC,51.80,+0.60%,Financials,1.198,1.17,$7.63,57.55,42.35,51.73,50.84,51.74,6.0,0.49,0.39,"26,462,434",100043.45,3.569576259E7,3.883869326E7,-38.36,7.6,0.95,2.17,55.27,46.45,55.27,-49.05,34.0,"367,603 M"
05/22/2026,1630,BALL,56.51,+0.28%,Materials,1.054,1.15,$2.21,68.29,44.83,58.17,59.97,55.17,5.0,0.04,0.45,"1,658,880",100130.13,2536709.13,2394645.5,-54.52,-4.41,-3.43,2.54,68.62,55.03,68.62,-55.03,49.0,"15,046 M"
05/22/2026,1630,BBN,15.70,+0.71%,,.6738,0.23,<empty>,17.45,15.4108,15.95,16.03,16.46,3.0,0.2,0.31,"219,558",-100100.13,198519.71,194955.23,89.87,-0.25,-2.67,1.16,17.59,15.03,17.59,-15.03,NaN,970 M
05/22/2026,1630,BBWI,17.76,+2.54%,Consumer Discretionary,1.425,1.16,$4.16,33.96,14.275,18.34,18.73,22.5,3.0,0.51,0.36,"4,056,604",200559.26,5913932.43,5930436.98,-36.19,-1.66,-9.98,10.24,24.56,16.03,24.56,-16.02,2.0,"3,577 M"
05/22/2026,1630,BBY,61.63,+0.78%,Consumer Discretionary,1.252,1.81,$5.96,84.99,55.1,58.67,61.52,69.75,7.0,0.66,1.0,"5,501,753",100545.41,3817799.46,4291587.88,88.0,-0.13,3.75,3.95,68.56,55.07,-55.07,-55.07,3.0,"12,985 M"
05/22/2026,1630,BCO,104.75,-0.04%,Industrials,1.054,1.7,$13.03,136.37,80.1,105.97,105.69,114.43,3.0,0.63,0.54,"365,929",101129.59,488218.51,555771.72,11.77,3.95,-2.3,2.39,136.6,96.44,-96.44,-99.07,50.0,"4,314 M"
05/22/2026,1630,BDRY,12.675,+1.40%,,.7177,0.44,<empty>,13.34,5.03,12.32,11.28,9.65,-7.0,-0.73,-0.44,"44,338",500157.54,100350.49,167207.96,-45.24,29.34,4.7,0.2,13.08,10.38,13.08,13.08,NaN,40 M
05/22/2026,1630,BEAM,28.64,+3.51%,Health Care,2.13,2.15,($3.74),36.44,15.35,29.72,27.81,25.74,2.0,0.34,0.21,"1,327,024",-201095.21,2118880.68,2130126.83,-38.72,19.58,-11.39,8.77,34.09,22.38,34.09,-26.03,49.0,"2,946 M"
05/22/2026,1630,BEPC,37.50,-0.32%,Utilities,1.138,0.45,($1.86),45.18,27.79,37.01,39.29,38.98,14.0,0.23,0.84,"1,345,642",-200342.16,1556611.02,1484649.61,-51.91,-4.65,2.24,3.76,44.59,34.14,-34.14,-34.14,47.0,"6,839 M"
05/22/2026,1630,BIDU,127.79,-2.58%,Communication Services,.4501,6.39,($4.60),165.3,81.17,134.34,123.79,124.73,-7.0,-0.63,-0.26,"3,682,856",-100260.06,2302173.52,2343715.97,156.39,13.56,-9.4,-7.18,152.07,106.38,152.07,152.07,59.0,"43,481 M"
05/22/2026,1630,BIO,287.74,+0.35%,Health Care,1.104,17.63,$13.21,343.12,211.43,265.61,274.07,292.68,8.0,0.65,1.0,"273,233",100339.05,365271.02,346528.97,-56.21,5.74,13.14,2.38,313.23,237.07,-237.07,-237.07,46.0,"7,700 M"
05/22/2026,1630,BIP,39.64,-0.28%,Utilities,1.056,1.02,($2.86),40.32,29.63,37.35,36.72,35.04,-1.0,0.84,-0.89,"466,227",-100328.18,959289.15,981804.58,-52.92,11.6,7.81,3.18,40.58,33.17,-33.17,-33.17,46.0,"18,235 M"
05/22/2026,1630,BIRK,41.38,+4.31%,Consumer Discretionary,1.07,3.37,$1.94,57.2,31.12,37.01,37.1,41.61,4.0,0.38,0.74,"4,468,851",100850.02,2480932.26,2456329.02,182.23,13.43,5.19,27.32,43.23,31.05,-31.05,-31.05,55.0,"7,610 M"
